What is the primary profession of Luke's Uncle Owen(1. Dairy Farmer/2. Trader/3. Scientist/4. Mechanic/5. Retired/6. None of these)?	6
What weapon is Luke shown taking out of the landspeeder just after he and C-3PO successfully locate R2-D2 in the rock canyon, but before meeting Obi-Wan Kenobi (1. Gaderffii Stick/2. Lightsaber/3. Blaster Pistol/4. Rifle/5. Nothing)?	4
When the criminal in the Mos Eisley cantina confronts Luke Skywalker, how many systems does he claim have given him the "death sentence"?	12
How much money does Han Solo initially ask for as compensation for transporting Luke and Ben to their destination (1. 5000/2. 10000/3. 15000/4. 17000/5. 20000/6. None of these)?	2
In Star Wars: A New Hope, how many different classes of non-imperial ships are shown successfully fleeing the area of the Death Star just before it explodes?	2
During the original trilogy, how many times does C-3PO report the numerical odds of success in a dangerous situation?	2
During their first meeting, for how many years does Yoda tell Luke that Yoda has been training Jedi?	800
Which of the following rebel fighter models was NOT seen in the original Star Wars Trilogy (1. A-Wing/2. B-Wing/3. V-Wing/4. X-Wing/5. Y-Wing/6. None of these)?	3
During what film is it announced that the Emperor has dissolved the Imperial Senate (1. Episode IV: A New Hope/2. Episode V: The Empire Strikes Back/3. Episode VI: Return of the Jedi/4. None of these)?	1
Which of these options is NOT one of the fighter squadron leaders who verbally reported in just prior to the Battle of Endor (1. Gold Leader/2. Green Leader/3. Gray Leader/4. Red Leader/5. Nobody reported in)?	1
In the Emperor's Throne Room on the second Death Star, how many large circular windows (not just individual window panes) are visible in the walls of the room?	4
